,collocate,raw_frequency,MI
189,off,10375,0.5845949086768754
190,over,18839,0.8263939760148432
191,books,1913,0.19587974265568545
192,beautiful,3222,-0.3254498516409813
193,dying,858,2.250466581103344
194,hating,71,2.7964806544946774
195,james,1433,2.1895303765061915
196,brushed,212,2.395721437423926
197,emotion,875,1.3835489338464884
198,instantly,780,1.4984789005204653
199,stopped,2417,0.6551725119524007
200,egotistical,29,3.691864701549519
201,eight,1063,0.7834573337539905
202,whom,7331,2.3024280467039393
203,tomorrow,256,2.207130267616376
204,says,5287,2.175033729414479
205,right,8646,0.990040739862407
206,rook,26,4.494211174074456
207,cost,635,1.991829893763192
208,penny,419,2.119901900281965
209,fisherman,62,2.9320261464909017
210,chemist,66,2.8695057895095677
211,how,20175,1.2074040489442628
212,used,3768,2.0829574338612216
213,there,48533,0.6386091260818555
214,their,27078,1.8961087794001834
215,hoped,892,0.958841579515929
216,wake,391,1.7836001521105727
217,knew,9930,2.060537393887741
218,roused,503,1.5317175419961992
219,words,7076,1.330190692185467
220,when,41369,1.7995114726057393
221,seeing,2293,1.9606015782933472
222,answer,3798,0.7628407892190752
223,most,10205,1.0474032811602487
224,suppliant,25,3.8402847066677923
225,persisted,251,2.632319881072319
226,standing,2657,1.65911423556418
227,unsuspected,34,3.5328000069198318
228,temptation,368,1.1510775933670623
229,feeling,3707,0.2274766895051514
230,striking,496,1.5457317853710109
231,something,9730,-0.0443671019642216
232,came,16408,1.3966874996183265
233,striding,96,2.4948123400681568
234,remembered,1637,1.8557645315010776
235,saying,3045,1.235128928728215
236,breeze,387,1.1007358385062114
237,slap,87,2.593252412881409
238,struck,2185,1.315699573061616
239,through,11222,0.506117837464857
240,following,1163,2.0798439206971646
241,knotted,63,2.9160258051444603
242,did,23883,1.6416774378913723
243,anger,985,2.5644141631622746
244,sitting,2926,1.1572104916357595
245,opposite,1291,0.9946004293574602
246,watching,1324,1.6625072642670944
247,write,2147,0.9967716460913125
248,so,57145,0.7405423434339305
249,reading,1524,1.1163611564092921
250,fiercely,305,1.3388487549285815
251,still,12863,1.1523983409466914
252,never,21437,1.3629529705309127
253,praised,260,2.1916260810804107
254,thinking,3410,1.6327431623606408
255,or,40419,1.188303729506531
256,pleasure,2508,0.3305319184512915
257,has,20286,1.9697879969023533
258,heavens,474,0.8979532098409165
259,feelings,1532,1.334269093669557
260,where,14146,1.7360798585373172
261,dishonoured,35,3.5038124700465794
262,concerning,540,2.7135015410329864
263,insinuates,3,5.960548242867883
264,dishonour,88,2.5818237170577865
265,sometimes,2907,1.386868723971163
266,whistled,126,2.222878624584515
267,caused,834,1.431539417845356
268,prognosticate,3,5.960548242867883
269,given,3749,1.7743550939665216
270,kiss,1149,1.8042727229152924
271,flows,54,3.0701764849717184
272,must,18850,1.2038763852241108
273,things,9789,-0.33809458449738233
274,soon,5421,0.7637100452697007
275,companionship,225,2.336207309891518
276,entered,2487,1.8052774451941251
277,into,27283,0.6293310888687005
278,hand,14087,0.9401400707608325
279,led,2202,1.1537986834814227
280,evening,4527,0.4331052533280895
281,told,8423,2.414888347893068
282,please,2553,1.779085471756046
283,will,32348,1.3933519286153748
284,called,5585,1.9576813446488532
285,shakespeare,183,1.8496743786945722
286,william,1269,-0.0868239361783947
287,trick,319,1.2939694287511485
288,related,289,2.0858810239835064
289,fascinating,152,2.035280010689717
290,mine,3544,1.0833737971472408
291,part,5396,0.2575067834364016
292,notwithstanding,209,1.7168262795711822
293,eloquent,176,1.8886765364978413
294,after,17578,1.5752165735597936
295,got,7855,1.4224594910214754
296,concocted,15,4.351110330433783
297,walk,2850,0.7135241707073973
298,happened,2270,0.7179197821804354
299,england,2518,1.0196997861597557
300,only,21155,0.8131010350861331
301,seemed,11618,0.8343438489126649
302,felt,8625,0.3946355624348031
303,wonderful,1425,0.8958457275013518
304,great,16101,0.5505777010390002
305,walking,1616,1.9740363854489982
306,away,13886,0.8527286243979784
307,late,2799,1.6870923994820763
308,health,1181,1.9309538643939441
309,disapproved,49,3.1673402334253664
310,table,4548,0.939302769659612
311,impression,880,0.2792386240637409
312,child,6473,1.5418621110119648
313,worrits,1,7.059160531535993
314,d,5578,0.378485112403872
315,expecting,329,1.9562499613305664
316,across,3316,0.33894037640069813
317,absence,957,1.987116609311094
318,sent,2898,2.031823387821806
319,sure,6471,0.8490239539402638
320,begun,912,0.9366677220216071
321,clasping,172,2.6048132352824855
322,surround,60,2.9648159693138925
323,flung,893,1.3631862393276037
324,hard,4144,0.8091852892765099
325,twenty,2370,1.0802747666348713
326,side,7506,1.6014384546407534
327,clapped,146,2.0755539098276565
328,going,8989,0.8998426241290344
329,fallen,1282,-0.09701610594462234
330,appearance,1633,1.452745907793583
331,always,9787,1.8021759108344992
332,invited,439,2.3609554795807126
333,mornings,134,2.1613207315850818
334,uncovered,82,2.65244128427174
335,murmurs,87,3.2863995934413546
336,longer,2474,0.6318633397034505
337,became,2676,1.6519887600758743
338,alarmed,430,2.0939876115164946
339,if,49064,1.3999432407328332
340,subjected,82,2.65244128427174
341,shaved,67,2.854467912145027
342,dismissed,270,1.4607385725376185
343,directed,387,1.7938830190661565
344,lady,15155,0.7289116080484186
345,marry,2554,1.1596546439988218
346,happily,369,1.8415110680554112
347,quarrelled,167,3.5506046315533384
348,eyed,579,0.6978580539629978
349,tone,2703,0.2556552739276552
350,disdainfully,37,3.4482426188917685
351,threatened,343,2.6077244454899438
352,country,4130,0.6790379946362279
353,method,200,2.453990345547902
354,fortnight,419,1.0212896116138555
355,hired,186,2.526561038382737
356,postillions,9,4.861935954199773
357,london,4662,0.2213986243743909
358,backed,237,2.284247570960807
359,none,2889,0.47678919218964855
360,went,14530,1.0861076876158888
361,out,34685,0.7947526777430168
362,upon,20805,1.008032208229578
363,abused,92,2.537371954486953
364,vexing,22,3.9681180781776773
365,lost,3307,1.8998027977206406
366,letter,4864,1.3421328301297715
367,having,6628,1.3511446063478554
368,spent,1151,1.397068483934001
369,keeping,1136,1.410186293374787
370,arrival,740,1.8388047064576682
371,set,5153,1.1508835128230275
372,held,3734,1.398874564895862
373,exceedingly,381,1.1163611564092921
374,commands,157,3.1015270148557947
375,quitted,276,2.1319068463787882
376,example,589,2.290172260318507
377,master,3378,1.0135629758480837
378,tipped,58,2.998717520989574
379,while,9813,1.8379891288816215
380,talked,1867,2.2351225890964805
381,issuing,57,3.7092564442613885
382,school,1807,1.3514967101718196
383,from,52134,1.7150408219334397
384,magnificence,76,2.728427191249662
385,maintained,205,1.7361505523975849
386,princely,76,3.421574371809607
387,regular,530,1.4794307055497709
388,instead,1739,0.6967073058498198
389,addressed,910,1.344328220693207
390,hunting,419,2.119901900281965
391,yet,12976,0.955599585167273
392,desk,554,1.840608133456819
393,insisted,480,2.6771338968621117
394,notes,561,0.7294396260132968
395,reveal,135,2.1538857530975637
396,consequence,510,1.5178969863775669
397,were,48208,0.5799453633700803
398,losing,399,2.45649347576602
399,heriot,211,2.400449578619872
400,objected,142,3.201945762602842
401,gentlemen,1954,1.0909646113673654
402,travelling,385,1.105917197248209
403,course,7340,0.7230157673889686
404,stuttered,14,4.4201032019207345
405,hope,4802,0.779597332091014
406,boddy,58,2.998717520989574
407,salter,17,4.9190943680397226
408,lived,2247,2.5999057973721458
409,carriage,1588,1.2983678021630123
410,sensation,458,1.6254385279817534
411,cellar,178,2.5705241618038532
412,horses,1344,0.5489021910128435
413,besides,1714,1.404334901606323
414,such,17429,0.6254742771895154
415,speaking,2263,1.4141554275822918
416,since,5930,1.9822989521884464
417,grown,1159,1.390142049316132
418,behalf,351,1.8915214886300726
419,hates,136,2.8396528263598864
420,poison,239,2.2758441601644277
421,seen,7474,1.5411723031527194
422,haven,1232,-0.057233612557472016
423,t,45155,0.6980130635406856
424,whether,4465,1.4277247604651748
425,sort,4347,0.7613608422270368
426,big,2103,1.3539505048886065
427,men,12162,-0.267469542464226
428,plead,133,2.168811403314239
429,breakfast,1502,2.1425029720102837
430,however,4595,1.0243317695445762
431,vividly,131,2.1839632083348417
432,else,3937,0.5727457098203106
433,disguise,200,1.7608431649879563
434,endeavoured,176,1.8886765364978413
435,osric,9,4.861935954199773
436,bringing,704,0.5023821753779507
437,should,21522,0.9109709812647504
438,carried,1960,0.8647551404313207
439,image,738,1.1483638874954658
440,blank,504,1.5297314440245697
441,enough,8264,0.5244031705245189
442,surrounding,163,2.658557511289176
443,tender,1131,0.721450235979818
444,janet,722,1.5757476813112765
445,whimpered,35,3.5038124700465794
446,owned,360,2.7824944125199376
447,love,11247,1.2278113875984515
448,remember,3570,1.5868898578645183
449,why,11324,1.0566853954794067
450,mixing,52,3.107916812954566
451,let,10757,1.439410193233634
452,without,11149,0.9589312696366223
453,offending,46,3.2305191350468982
454,beggar,279,1.4279487497146275
455,lay,4651,0.9169080953059416
456,many,8918,-0.09075630459611557
457,myself,7579,0.8340741888261739
458,faults,310,2.4212005227249107
459,incessantly,105,3.098347361938415
460,everybody,1355,0.5407509787821371
461,sir,13831,1.2856929186048476
462,society,1745,1.791875274235685
463,temple,929,2.1709619417774677
464,invite,181,1.8606635002701672
465,first,13292,0.783118726929709
466,appeared,2715,0.9443727683960123
467,ilchester,38,3.421574371809607
468,riding,655,1.673137584568851
469,riversley,148,2.0619482577718777
470,respected,296,3.6713861702059782
471,much,18743,0.3116273565353239
472,languished,14,4.4201032019207345
473,achilles,31,3.6251733270508466
474,found,8159,1.6076317015966066
475,complain,257,1.5100844466407732
476,whispered,1309,1.961583307305929
477,touched,1460,0.8715811055017205
478,being,10949,1.3135051861519818
479,turned,7543,0.3280098490185817
480,against,7628,2.01139986292631
481,began,6071,1.5259357467535046
482,prince,1722,2.315969047650527
483,stated,228,1.6298149025815525
484,discover,513,1.5120318669251689
485,surely,1763,1.9822836219364932
486,earth,2463,0.34863742208356496
487,done,8627,1.0410308701828372
488,stop,1657,1.0326908752293207
489,sarkeld,62,3.6251733270508466
490,see,22306,1.6212605304848937
491,night,10930,0.7556262239193998
492,direction,1169,1.0938688587320344
493,toward,1273,1.8559390820338997
494,hearing,1089,1.8579048778310876
495,name,6666,2.038574906586569
496,living,2395,1.3574635633708134
497,these,11972,0.5592064204595681
498,might,17420,1.1439338828395578
499,also,4823,1.468380869363186
500,eppenwelzen,20,4.063428257982002
501,idea,3232,0.07691640056311687
502,awhile,285,2.099818531827288
503,recognize,201,1.7558556234769174
504,actually,916,1.6254385279817534
505,us,15769,0.9487073266198198
506,shout,294,1.3755807641973115
507,death,4028,3.2354720921757467
508,xvii,83,2.640319923739395
509,breathes,37,3.4482426188917685
510,moves,106,2.395721437423926
511,acknowledged,323,1.9746553888732818
512,bow,1130,0.722334800389552
513,impetuously,62,2.9320261464909017
514,replies,187,2.521199095241352
515,apologizing,18,4.168788773639829
516,etc,272,2.5519707539081056
517,madam,896,1.3598324072291723
518,act,1426,-0.20346806943824824
519,kept,3687,1.9376345866601645
520,lifting,456,1.6298149025815525
521,deposited,136,2.146505645799941
522,broke,1734,1.5468845232508193
523,ease,916,0.9322913474218081
524,exclaimed,2082,2.3625152615275193
525,horns,176,1.8886765364978413
526,richie,211,3.4990618672879816
527,interrupted,659,2.3601964662615407
528,tis,913,1.6287190120609152
529,wines,70,2.810665289486634
530,beamed,66,3.5626529700695126
531,fish,629,1.7136415635036621
532,kickings,1,7.059160531535993
533,paused,1377,0.9301103214754478
534,yawned,104,2.4147696323946204
535,pain,1465,0.8681622987529349
536,smoked,230,1.6210812226127977
537,occupied,837,0.3293364610465177
538,just,11856,0.6230101631665653
539,return,3016,0.9933839514634596
540,bending,432,1.683882123851828
541,suddenly,4017,1.3258192546382477
542,middle,1314,-0.12167066750856266
543,practised,194,1.7913023724726649
544,another,8662,0.7650483320012023
545,opened,3006,1.4486902340214438
546,english,2917,1.0267597107235849
547,nodded,819,2.296986596738237
548,ejaculated,128,2.9002774481763214
549,musingly,65,2.884773261640356
